Id,Neighbourhood,Neighbourhood  Group,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum Nights,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Location
7028,Misericrdia,Lisboa,38.712210,-9.145310,Entire rental unit,Entire home/apt,4,1,1,2,70,2,95,4.84,4.91,4.91,4.92
7029,Vila Franca de Xira,Vila Franca De Xira,38.966790,-8.984720,Private room in condominium (condo),Private room,3,1,1,1,20,1,43,4.77,4.77,4.6,4.42
7030,So Vicente,Lisboa,38.722420,-9.122830,Entire rental unit,Entire home/apt,4,1,1,1,54,1,126,4.79,4.9,4.92,4.3
7031,Arroios,Lisboa,38.730900,-9.136530,Entire rental unit,Entire home/apt,8,2,4,5,110,1,7,4.29,4.71,4.29,4.29
7032,Cascais e Estoril,Cascais,38.702220,-9.385320,Entire rental unit,Entire home/apt,4,1,2,3,59,2,51,4.8,4.84,4.86,4.82
7033,Misericrdia,Lisboa,38.707432,-9.143504,Entire rental unit,Entire home/apt,4,2,2,3,120,1,63,5,4.91,4.91,4.97
7034,So Joo das Lampas e Terrugem,Sintra,38.899130,-9.431760,Entire residential home,Entire home/apt,8,2,4,6,159,3,7,4.71,5,4.57,4.57
7035,Carvoeira,Mafra,38.932130,-9.408700,Entire condominium (condo),Entire home/apt,4,1,2,2,63,7,14,4.79,4.86,4.5,4.86
7036,Cascais e Estoril,Cascais,38.707780,-9.418680,Entire condominium (condo),Entire home/apt,2,1,1,1,54,3,14,4.79,4.71,4.79,4.5
7037,Avenidas Novas,Lisboa,38.737890,-9.156270,Entire rental unit,Entire home/apt,4,1,1,2,49,2,41,4.71,4.85,4.85,4.66
7038,So Vicente,Lisboa,38.720950,-9.131340,Entire rental unit,Entire home/apt,4,1,1,2,100,2,49,4.66,4.77,4.75,4.7
7039,Penha de Frana,Lisboa,38.731440,-9.130100,Entire rental unit,Entire home/apt,6,1,2,4,70,2,42,4.95,5,4.95,4.62
7040,Barcarena,Oeiras,38.717650,-9.271870,Windmill,Entire home/apt,4,1,2,4,180,6,2,5,5,5,5
7041,Misericrdia,Lisboa,38.711340,-9.151760,Entire rental unit,Entire home/apt,4,1,2,3,80,2,82,4.67,4.85,4.51,4.88
7042,Santa Maria Maior,Lisboa,38.709860,-9.138520,Entire rental unit,Entire home/apt,6,2,2,3,115,2,47,4.64,4.81,4.7,4.89
7043,Ajuda,Lisboa,38.703600,-9.202260,Entire rental unit,Entire home/apt,2,1,1,1,40,4,11,4.27,4.82,4.36,4.91
7044,Alcntara,Lisboa,38.704210,-9.177000,Entire rental unit,Entire home/apt,14,3,6,8,300,3,1,4,4,3,5
7045,Misericrdia,Lisboa,38.707910,-9.141840,Entire serviced apartment,Entire home/apt,6,2,3,3,229,2,114,4.97,4.97,4.96,5
7046,Misericrdia,Lisboa,38.712820,-9.145340,Entire rental unit,Entire home/apt,4,1,1,5,74,2,9,5,5,5,5
7047,Arroios,Lisboa,38.726170,-9.133940,Entire rental unit,Entire home/apt,7,2,3,5,81,3,64,4.77,4.81,4.83,4.84
7048,Cascais e Estoril,Cascais,38.717090,-9.378870,Private room in townhouse,Private room,2,1,1,2,39,2,9,4.78,5,5,4.56
7049,guas Livres,Amadora,38.747720,-9.211330,Private room in rental unit,Private room,2,1,1,1,55,2,9,4.89,4.89,4.78,4.67
7050,Misericrdia,Lisboa,38.710600,-9.144870,Entire rental unit,Entire home/apt,6,1,3,5,126,2,90,4.81,4.96,4.88,4.93
7051,Cascais e Estoril,Cascais,38.704220,-9.433000,Entire rental unit,Entire home/apt,4,1,1,1,80,3,61,4.93,4.98,4.93,4.79
7052,Santa Maria Maior,Lisboa,38.710800,-9.137620,Private room in guest suite,Private room,2,1,1,1,129,1,2,4.5,5,5,5
7053,Santa Maria Maior,Lisboa,38.717950,-9.134040,Entire rental unit,Entire home/apt,4,1,2,2,76,2,56,4.23,4.5,4.45,4.09
7054,Santa Maria Maior,Lisboa,38.712430,-9.137370,Private room in guest suite,Private room,2,1,1,1,136,1,1,5,5,5,5
7055,Cascais e Estoril,Cascais,38.717180,-9.380860,Private room in townhouse,Private room,2,1,1,1,28,1,10,4.8,5,5,4.8
7056,Misericrdia,Lisboa,38.712120,-9.147050,Camper/RV,Entire home/apt,4,1,0,2,114,3,8,5,5,5,4.88
7057,Santa Maria Maior,Lisboa,38.712500,-9.136190,Private room in guest suite,Private room,3,1,1,2,147,1,1,5,5,5,5
7058,Belm,Lisboa,38.696050,-9.216880,Entire rental unit,Entire home/apt,6,2,3,4,65,3,34,4.71,4.76,4.56,4.65
