Id,Neighbourhood,Neighbourhood  Group,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum Nights,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Location
1,Belm,Lisboa,38.697500,-9.197680,Entire rental unit,Entire home/apt,4,1,1,1,40,3,32,4.5,4.39,4.38,4.81
2,Santa Maria Maior,Lisboa,38.712410,-9.127060,Entire rental unit,Entire home/apt,3,1,1,1,50,2,127,4.81,4.89,4.88,4.88
3,Santa Maria Maior,Lisboa,38.710820,-9.127190,Entire rental unit,Entire home/apt,4,1,1,2,60,5,337,4.56,4.63,4.38,4.82
4,Santa Maria Maior,Lisboa,38.711560,-9.129870,Entire rental unit,Entire home/apt,4,1,1,1,60,2,299,4.8,4.84,4.82,4.88
5,Estrela,Lisboa,38.711080,-9.159790,Entire rental unit,Entire home/apt,16,8,9,13,957,2,64,4.92,4.89,4.84,4.83
6,Avenidas Novas,Lisboa,38.745710,-9.152640,Entire rental unit,Entire home/apt,3,1,1,0,50,5,46,4.68,4.9,4.88,4.67
7,Lumiar,Lisboa,38.764270,-9.153010,Private room in rental unit,Private room,6,2,1,3,40,1,2,5,5,4.5,4.5
8,Misericrdia,Lisboa,38.709030,-9.143130,Entire rental unit,Entire home/apt,2,1,1,1,122,1,363,4.39,4.56,4.48,4.81
9,Misericrdia,Lisboa,38.710620,-9.149000,Entire rental unit,Entire home/apt,2,1,1,1,50,1,120,4.44,4.45,4.62,4.75
10,Cascais e Estoril,Cascais,38.696500,-9.425710,Entire residential home,Entire home/apt,4,1,1,2,80,5,33,4.94,4.94,4.69,4.97
11,Alenquer (Santo Estvo e Triana),Alenquer,39.059650,-9.047330,Entire cottage,Entire home/apt,8,5,4,7,230,7,6,5,5,4.17,4.83
12,Estrela,Lisboa,38.703880,-9.165460,Entire rental unit,Entire home/apt,4,2,1,1,75,2,37,4.52,4.7,4.43,4.52
13,So Vicente,Lisboa,38.718510,-9.124390,Entire rental unit,Entire home/apt,2,1,1,1,47,3,150,4.62,4.74,4.63,4.49
14,Cascais e Estoril,Cascais,38.700180,-9.432720,Entire rental unit,Entire home/apt,4,1,0,2,49,3,166,4.65,4.77,4.59,4.54
15,So Vicente,Lisboa,38.719852,-9.129011,Entire rental unit,Entire home/apt,2,1,1,1,57,2,220,4.44,4.54,4.31,4.66
16,Santa Maria Maior,Lisboa,38.710600,-9.136890,Entire rental unit,Entire home/apt,5,1,2,3,137,1,74,4.65,4.78,4.93,4.89
17,Misericrdia,Lisboa,38.712990,-9.150040,Entire residential home,Entire home/apt,4,1,2,3,95,3,28,4.74,4.81,4.85,4.85
18,So Vicente,Lisboa,38.717220,-9.130190,Entire guest suite,Entire home/apt,2,1,1,1,51,1,59,4.49,4.51,4.68,4.83
19,Misericrdia,Lisboa,38.709010,-9.151580,Entire rental unit,Entire home/apt,6,1,3,4,80,3,76,4.7,4.83,4.77,4.61
20,Santo Antnio,Lisboa,38.721290,-9.142200,Private room in rental unit,Private room,1,2,1,1,22,20,43,4.19,4.27,3.72,4.62
21,So Vicente,Lisboa,38.718250,-9.129020,Entire rental unit,Entire home/apt,4,1,1,1,60,2,73,4.73,4.82,4.89,4.85
22,Cascais e Estoril,Cascais,38.699220,-9.440530,Entire condominium (condo),Entire home/apt,4,2,1,2,99,4,11,5,4.73,4.91,4.73
23,Estrela,Lisboa,38.709270,-9.161220,Entire rental unit,Entire home/apt,4,1,2,2,68,3,249,4.87,4.91,4.91,4.72
24,Santa Maria Maior,Lisboa,38.713410,-9.135190,Entire rental unit,Entire home/apt,2,1,1,1,59,3,215,4.68,4.8,4.72,4.79
25,So Vicente,Lisboa,38.714780,-9.124100,Entire rental unit,Entire home/apt,3,1,1,1,69,3,143,4.37,4.57,4.42,4.8
26,Penha de Frana,Lisboa,38.729830,-9.131830,Private room in rental unit,Private room,3,1,1,3,26,1,292,4.57,4.7,4.69,4.49
27,Misericrdia,Lisboa,38.708530,-9.146130,Entire serviced apartment,Entire home/apt,6,2,4,4,103,2,3,5,4.5,5,5
28,Arroios,Lisboa,38.718060,-9.137380,Private room in rental unit,Private room,2,1,1,1,28,3,193,4.64,4.68,4.48,4.76
29,Carcavelos e Parede,Cascais,38.686470,-9.329890,Private room in villa,Private room,10,0,5,5,66,6,15,4.25,4.23,3.62,3.69
30,Santa Maria Maior,Lisboa,38.710910,-9.132510,Entire rental unit,Entire home/apt,3,1,1,2,49,2,286,4.7,4.69,4.56,4.94
31,So Vicente,Lisboa,38.718410,-9.123300,Entire rental unit,Entire home/apt,2,1,1,1,50,2,199,4.5,4.63,4.51,4.56
32,Misericrdia,Lisboa,38.712980,-9.145410,Entire rental unit,Entire home/apt,4,1,2,2,50,7,232,4.76,4.85,4.87,4.89
33,Santa Maria Maior,Lisboa,38.712360,-9.131290,Entire rental unit,Entire home/apt,3,1,1,2,50,2,217,4.78,4.78,4.66,4.95
34,Misericrdia,Lisboa,38.714130,-9.144250,Entire rental unit,Entire home/apt,2,1,1,1,65,7,2,4.5,4,4,5
35,Santo Antnio,Lisboa,38.718210,-9.153980,Entire rental unit,Entire home/apt,4,1,2,3,69,4,1,5,5,5,5
36,Santa Maria Maior,Lisboa,38.712310,-9.129180,Entire rental unit,Entire home/apt,2,1,1,2,40,2,378,4.84,4.9,4.87,4.87
37,Misericrdia,Lisboa,38.713080,-9.145140,Entire rental unit,Entire home/apt,12,2,5,5,132,2,29,4.07,4.14,4.14,4.72
38,Cascais e Estoril,Cascais,38.696100,-9.422150,Entire rental unit,Entire home/apt,2,1,0,1,63,2,33,4.63,4.85,4.73,4.97
39,Misericrdia,Lisboa,38.712610,-9.144560,Entire rental unit,Entire home/apt,4,1,1,1,90,2,89,4.72,4.94,4.77,4.88
40,Arroios,Lisboa,38.721650,-9.140790,Entire rental unit,Entire home/apt,4,1,2,2,48,3,16,4.94,4.81,4.5,4.81
41,So Vicente,Lisboa,38.715500,-9.132030,Entire rental unit,Entire home/apt,4,2,2,2,143,2,14,4.85,4.85,4.85,4.77
42,Colares,Sintra,38.788080,-9.459990,Entire cottage,Entire home/apt,6,2,3,5,130,5,42,4.95,4.85,4.76,4.85
43,Misericrdia,Lisboa,38.709960,-9.152060,Entire rental unit,Entire home/apt,4,1,1,2,60,3,113,4.72,4.77,4.85,4.76
44,Santa Maria Maior,Lisboa,38.713310,-9.133140,Entire rental unit,Entire home/apt,3,1,1,2,64,1,151,4.87,4.88,4.96,4.84
45,Santa Maria Maior,Lisboa,38.712270,-9.129420,Entire rental unit,Entire home/apt,2,1,1,1,55,3,424,4.72,4.71,4.89,4.82
46,Rio de Mouro,Sintra,38.758310,-9.340340,Private room in residential home,Private room,2,1,1,1,45,2,3,4.67,5,4.33,4.33
47,Alcntara,Lisboa,38.705460,-9.175790,Entire rental unit,Entire home/apt,6,1,2,3,65,2,148,4.75,4.81,4.74,4.55
48,Estrela,Lisboa,38.709940,-9.154420,Entire rental unit,Entire home/apt,4,2,2,2,250,31,2,5,5,5,5
49,Santa Maria Maior,Lisboa,38.713580,-9.134540,Private room in rental unit,Private room,2,1,1,1,31,2,165,4.87,4.9,4.95,4.93
50,Santa Maria Maior,Lisboa,38.714150,-9.140530,Entire rental unit,Entire home/apt,3,1,1,2,57,4,192,4.84,4.9,4.9,4.97
51,Alvalade,Lisboa,38.747360,-9.131910,Private room in rental unit,Private room,2,1,1,1,30,5,46,4.45,4.6,4.67,4.33
52,Santa Maria Maior,Lisboa,38.710430,-9.130870,Entire rental unit,Entire home/apt,2,1,1,1,79,2,409,4.93,4.92,4.89,4.93
53,Misericrdia,Lisboa,38.714210,-9.150850,Entire rental unit,Entire home/apt,6,2,3,4,77,4,141,4.68,4.74,4.66,4.76
54,So Vicente,Lisboa,38.717690,-9.133310,Entire rental unit,Entire home/apt,4,0,1,1,78,4,87,4.51,4.65,4.34,4.65
55,Misericrdia,Lisboa,38.707810,-9.145100,Entire rental unit,Entire home/apt,4,1,2,3,64,1,714,4.89,4.91,4.95,4.92
56,Santa Maria Maior,Lisboa,38.711330,-9.130930,Entire rental unit,Entire home/apt,6,2,3,3,65,3,160,4.63,4.74,4.53,4.81
57,Santa Maria Maior,Lisboa,38.709160,-9.132220,Entire rental unit,Entire home/apt,6,3,3,3,85,3,263,4.64,4.71,4.55,4.84
58,Misericrdia,Lisboa,38.712710,-9.150250,Entire rental unit,Entire home/apt,2,1,0,1,49,3,41,4.56,4.68,4.68,4.88
59,Santa Maria Maior,Lisboa,38.716770,-9.133590,Entire rental unit,Entire home/apt,2,1,1,1,67,4,79,4.58,4.65,4.81,4.7
60,Santa Maria Maior,Lisboa,38.710950,-9.131920,Entire rental unit,Entire home/apt,4,1,2,2,74,2,425,4.85,4.85,4.93,4.92
61,Misericrdia,Lisboa,38.709970,-9.148640,Entire loft,Entire home/apt,2,1,0,1,94,28,227,4.98,4.98,4.99,4.95
62,Santo Antnio,Lisboa,38.719710,-9.143390,Private room in rental unit,Private room,1,2,1,1,25,10,24,4.74,4.32,3.5,4.59
63,Lumiar,Lisboa,38.775960,-9.151010,Entire rental unit,Entire home/apt,2,1,1,2,39,14,25,4.67,4.79,4.92,4.35
64,Santa Maria Maior,Lisboa,38.710950,-9.136730,Entire rental unit,Entire home/apt,5,2,2,3,105,2,110,4.94,4.95,4.97,4.97
65,Santa Maria Maior,Lisboa,38.710520,-9.133650,Entire rental unit,Entire home/apt,4,2,2,2,60,3,124,4.7,4.75,4.66,4.92
66,Cascais e Estoril,Cascais,38.710150,-9.407460,Entire condominium (condo),Entire home/apt,3,1,1,5,55,3,59,4.42,4.61,4.64,4.71
67,Alvalade,Lisboa,38.748250,-9.145900,Private room in rental unit,Private room,1,1,1,1,30,4,31,4.87,4.81,4.94,4.84
68,Santa Maria Maior,Lisboa,38.712250,-9.127770,Entire rental unit,Entire home/apt,2,1,1,1,70,2,184,4.72,4.83,4.77,4.87
69,Alvalade,Lisboa,38.748770,-9.147800,Private room in rental unit,Private room,1,1,1,1,22,5,5,5,5,5,5
70,Colares,Sintra,38.793250,-9.478540,Entire rental unit,Entire home/apt,3,1,2,3,80,5,24,4.83,4.87,4.92,4.68
71,Igreja Nova e Cheleiros,Mafra,38.889910,-9.310290,Tiny house,Entire home/apt,2,1,2,2,60,2,29,4.45,4.48,4.34,4.59
72,Igreja Nova e Cheleiros,Mafra,38.891560,-9.310590,Entire residential home,Entire home/apt,6,2,3,7,150,2,9,4.44,4.78,4.67,4.56
73,Arroios,Lisboa,38.731240,-9.133640,Private room in rental unit,Private room,2,1,1,1,54,1,4,4.5,4.5,4,4.25
74,So Vicente,Lisboa,38.714780,-9.124100,Entire rental unit,Entire home/apt,3,1,1,1,45,3,149,4.39,4.48,4.3,4.72
75,Carcavelos e Parede,Cascais,38.687270,-9.336870,Entire guest suite,Entire home/apt,3,1,1,2,35,3,110,4.73,4.73,4.72,4.81
76,Areeiro,Lisboa,38.743130,-9.139850,Private room in rental unit,Private room,2,1,1,1,35,1,43,4.81,4.91,4.81,4.83
77,Cascais e Estoril,Cascais,38.699140,-9.419980,Entire rental unit,Entire home/apt,5,0,1,1,60,3,92,4.56,4.65,4.43,4.9
78,Misericrdia,Lisboa,38.713310,-9.146080,Entire rental unit,Entire home/apt,3,1,1,1,49,22,76,4.66,4.89,4.89,4.83
79,Santa Maria Maior,Lisboa,38.712360,-9.134970,Entire rental unit,Entire home/apt,2,1,1,1,135,3,27,4.92,4.96,4.77,5
80,Santa Maria Maior,Lisboa,38.710940,-9.139990,Entire rental unit,Entire home/apt,6,2,2,3,135,3,6,4.83,4.8,4.8,5
81,Colares,Sintra,38.839810,-9.460960,Entire residential home,Entire home/apt,6,1,3,4,200,6,27,4.5,4.74,4.41,4.89
82,Santa Maria Maior,Lisboa,38.713790,-9.135210,Entire loft,Entire home/apt,2,1,1,1,50,7,422,4.67,4.8,4.75,4.81
83,Arroios,Lisboa,38.716860,-9.140140,Entire rental unit,Entire home/apt,2,1,1,1,68,3,36,4.81,4.89,4.89,4.61
84,Misericrdia,Lisboa,38.710040,-9.152090,Entire rental unit,Entire home/apt,3,1,1,2,55,1,183,4.87,4.91,4.95,4.88
85,Misericrdia,Lisboa,38.709960,-9.152370,Entire rental unit,Entire home/apt,2,1,1,1,69,3,319,4.85,4.83,4.81,4.9
86,So Vicente,Lisboa,38.713430,-9.125570,Entire rental unit,Entire home/apt,2,1,1,1,70,3,342,4.72,4.86,4.78,4.89
87,Santa Maria Maior,Lisboa,38.710810,-9.128160,Entire loft,Entire home/apt,4,1,1,0,58,3,250,4.72,4.8,4.65,4.86
88,Misericrdia,Lisboa,38.711650,-9.146300,Entire rental unit,Entire home/apt,4,1,2,3,60,3,326,4.69,4.75,4.74,4.73
89,Santo Antnio,Lisboa,38.717740,-9.154870,Entire rental unit,Entire home/apt,4,1,1,1,100,3,53,4.75,4.71,4.75,4.62
90,Campolide,Lisboa,38.727290,-9.163170,Entire rental unit,Entire home/apt,6,1,3,3,70,28,24,4.28,4.4,4.4,3.95
91,Misericrdia,Lisboa,38.712570,-9.152100,Private room in rental unit,Private room,2,1,1,1,103,2,6,4.17,4.33,4.33,4.5
92,Santo Antnio,Lisboa,38.722500,-9.154880,Entire rental unit,Entire home/apt,5,1,2,2,72,3,83,4.09,4.21,3.94,4.61
93,Santa Maria Maior,Lisboa,38.712910,-9.142340,Entire rental unit,Entire home/apt,4,1,2,2,119,2,105,4.83,4.88,4.82,4.92
94,Santa Maria Maior,Lisboa,38.712910,-9.142340,Entire rental unit,Entire home/apt,4,1,1,1,88,3,75,4.76,4.82,4.82,4.92
95,Carcavelos e Parede,Cascais,38.692190,-9.358870,Entire chalet,Entire home/apt,6,1,3,6,85,3,21,4.55,4.6,4.3,4.74
96,Misericrdia,Lisboa,38.710010,-9.143740,Entire rental unit,Entire home/apt,7,3,3,4,155,3,231,4.91,4.95,4.96,4.92
97,Santo Antnio,Lisboa,38.726210,-9.143180,Entire rental unit,Entire home/apt,10,3,3,5,150,3,3,3.67,4.67,4.67,4.67
98,Campolide,Lisboa,38.728510,-9.166440,Shared room in rental unit,Shared room,2,1,1,2,20,2,49,4.51,4.49,4.04,4.43
99,Santo Antnio,Lisboa,38.724860,-9.143290,Entire rental unit,Entire home/apt,6,1,1,3,120,3,9,4.22,4.5,4.63,4.25
100,Campolide,Lisboa,38.729320,-9.165660,Private room in rental unit,Private room,2,1,1,2,15,1,3,4.67,5,4.67,4.67
101,Misericrdia,Lisboa,38.713080,-9.145140,Entire rental unit,Entire home/apt,8,2,3,4,110,2,8,4.5,4.63,4.5,4.88
102,Cascais e Estoril,Cascais,38.699010,-9.439800,Entire condominium (condo),Entire home/apt,4,1,1,3,82,3,35,4.77,4.74,4.68,4.59
103,Santo Antnio,Lisboa,38.721300,-9.144370,Entire rental unit,Entire home/apt,2,1,1,1,63,3,563,4.88,4.91,4.82,4.86
104,Arroios,Lisboa,38.721990,-9.140020,Entire rental unit,Entire home/apt,6,1,2,3,74,2,76,4.72,4.84,4.74,4.72
105,Santo Antnio,Lisboa,38.724190,-9.147400,Entire rental unit,Entire home/apt,4,1,1,1,79,3,88,4.85,4.94,4.85,4.91
106,Arroios,Lisboa,38.721380,-9.139450,Entire rental unit,Entire home/apt,6,1,2,2,69,1,120,4.68,4.79,4.75,4.53
107,Misericrdia,Lisboa,38.713080,-9.145140,Entire rental unit,Entire home/apt,7,1,3,4,120,2,19,4.16,4,4.33,4.44
108,Misericrdia,Lisboa,38.712790,-9.145030,Entire rental unit,Entire home/apt,4,1,1,2,59,3,420,4.59,4.72,4.59,4.83
109,Parque das Naes,Lisboa,38.778700,-9.096340,Entire condominium (condo),Entire home/apt,4,1,1,1,63,3,10,4.78,4.78,4.89,4.78
110,Santa Maria Maior,Lisboa,38.711430,-9.127780,Entire rental unit,Entire home/apt,2,1,0,1,49,3,320,4.7,4.88,4.86,4.85
111,Santa Maria Maior,Lisboa,38.712350,-9.127500,Entire rental unit,Entire home/apt,4,1,1,2,85,3,1,5,5,5,5
112,Santa Maria Maior,Lisboa,38.712520,-9.129110,Entire rental unit,Entire home/apt,4,1,1,2,52,2,5,4,3.75,5,4
113,Cascais e Estoril,Cascais,38.704920,-9.399860,Entire cabin,Entire home/apt,5,1,2,3,100,4,122,4.69,4.77,4.73,4.85
114,Lourinh e Atalaia,Lourinh,39.274230,-9.318980,Entire residential home,Entire home/apt,16,4,5,17,400,3,6,5,4.8,5,4.8
115,Arroios,Lisboa,38.734750,-9.144000,Private room in rental unit,Private room,2,2,2,2,26,5,49,4.51,4.72,4.76,4.76
116,Santa Maria Maior,Lisboa,38.709430,-9.137220,Entire rental unit,Entire home/apt,3,1,0,2,55,2,406,4.78,4.85,4.86,4.93
117,So Vicente,Lisboa,38.716330,-9.131070,Entire rental unit,Entire home/apt,3,1,1,1,55,3,349,4.78,4.87,4.82,4.67
118,Misericrdia,Lisboa,38.713860,-9.144830,Entire rental unit,Entire home/apt,6,1,2,3,75,3,158,4.63,4.8,4.6,4.87
119,Santa Maria Maior,Lisboa,38.712480,-9.129610,Entire rental unit,Entire home/apt,6,1,2,1,80,2,164,4.5,4.6,4.43,4.91
120,Misericrdia,Lisboa,38.711120,-9.147990,Entire rental unit,Entire home/apt,5,1,2,2,74,3,47,4.72,4.91,4.89,4.96
121,Alcntara,Lisboa,38.700450,-9.192390,Private room in rental unit,Private room,2,1,1,1,50,5,15,4.53,4.5,4.79,4.57
122,Santa Maria Maior,Lisboa,38.714180,-9.135720,Entire rental unit,Entire home/apt,2,1,1,1,61,3,99,4.91,4.9,4.97,4.89
123,Santo Antnio,Lisboa,38.726590,-9.145220,Entire rental unit,Entire home/apt,12,2,5,6,200,3,5,4.8,4.8,5,5
124,Santo Antnio,Lisboa,38.724880,-9.145110,Entire rental unit,Entire home/apt,10,3,3,2,150,3,5,4.5,4,4.6,3.6
125,Santo Antnio,Lisboa,38.725410,-9.145190,Entire rental unit,Entire home/apt,4,1,2,2,75,3,5,4,4.6,4.8,4.6
126,Reguengo Grande,Lourinh,39.289270,-9.217050,Entire cottage,Entire home/apt,6,1,3,5,80,5,73,4.71,4.76,4.52,4.58
127,Misericrdia,Lisboa,38.714460,-9.151790,Entire rental unit,Entire home/apt,6,2,2,0,95,3,161,4.88,4.9,4.93,4.93
128,Campolide,Lisboa,38.727000,-9.164780,Entire rental unit,Entire home/apt,4,2,2,3,60,4,14,4.58,4.5,4.42,4.08
129,Arroios,Lisboa,38.718170,-9.139400,Entire rental unit,Entire home/apt,2,1,1,1,80,7,229,4.9,4.93,4.93,4.81
130,Santo Antnio,Lisboa,38.716650,-9.146270,Private room in rental unit,Private room,2,1,1,1,30,6,185,4.82,4.81,4.59,4.94
131,Estrela,Lisboa,38.704980,-9.171560,Entire rental unit,Entire home/apt,4,1,1,1,31,3,11,4.18,4.27,4.36,4.36
132,Misericrdia,Lisboa,38.715350,-9.151190,Entire rental unit,Entire home/apt,3,1,1,2,80,2,55,4.6,4.74,4.87,4.81
133,Santo Antnio,Lisboa,38.717240,-9.147550,Private room in rental unit,Private room,2,1,1,3,30,6,149,4.61,4.57,4.48,4.94
134,Santo Antnio,Lisboa,38.716930,-9.148000,Entire rental unit,Entire home/apt,10,1,3,3,140,4,50,4.76,4.74,4.55,4.89
135,Misericrdia,Lisboa,38.706910,-9.148460,Entire rental unit,Entire home/apt,2,1,1,1,45,3,175,4.66,4.75,4.64,4.88
136,Ericeira,Mafra,38.987620,-9.416530,Entire rental unit,Entire home/apt,5,2,2,3,100,3,66,4.66,4.73,4.72,4.75
137,So Vicente,Lisboa,38.713370,-9.125480,Entire rental unit,Entire home/apt,6,1,2,3,89,5,107,4.63,4.78,4.5,4.87
138,So Vicente,Lisboa,38.713370,-9.125480,Entire rental unit,Entire home/apt,4,1,1,1,79,5,145,4.74,4.85,4.72,4.87
139,So Vicente,Lisboa,38.719040,-9.132690,Entire rental unit,Entire home/apt,4,1,2,2,98,2,193,4.39,4.44,4.53,4.82
140,So Vicente,Lisboa,38.713370,-9.125480,Entire rental unit,Entire home/apt,10,2,3,6,245,3,20,4.84,4.61,4.61,4.83
141,Arroios,Lisboa,38.733800,-9.133000,Private room in rental unit,Private room,2,1,1,1,21,1,456,4.59,4.75,4.59,4.65
142,Santo Antnio,Lisboa,38.719560,-9.142550,Entire condominium (condo),Entire home/apt,4,1,1,2,65,4,106,4.79,4.88,4.79,4.93
143,Belm,Lisboa,38.711560,-9.210460,Private room in rental unit,Private room,2,1,1,1,110,1,2,4.5,5,5,4
144,Misericrdia,Lisboa,38.713240,-9.151050,Entire rental unit,Entire home/apt,6,1,3,5,120,2,84,4.89,4.89,4.95,4.88
145,Cascais e Estoril,Cascais,38.707790,-9.393260,Private room in bed and breakfast,Private room,2,1,1,1,50,1,136,4.94,4.96,4.99,4.81
146,Cadaval e Pro Moniz,Cadaval,39.238050,-9.121810,Entire cottage,Entire home/apt,5,1,2,4,65,3,74,4.72,4.74,4.81,4.63
147,Santa Maria Maior,Lisboa,38.711470,-9.133820,Entire loft,Entire home/apt,3,1,0,2,41,3,141,4.67,4.7,4.63,4.91
148,Santa Maria Maior,Lisboa,38.712960,-9.136300,Entire rental unit,Entire home/apt,5,2,2,3,126,2,63,4.94,4.95,4.87,4.95
149,Santa Maria Maior,Lisboa,38.712900,-9.138170,Entire rental unit,Entire home/apt,5,2,2,3,109,2,144,4.85,4.9,4.9,4.94
150,Colares,Sintra,38.805790,-9.472100,Entire chalet,Entire home/apt,2,1,1,1,75,2,220,4.77,4.8,4.82,4.75
151,Colares,Sintra,38.806010,-9.472160,Entire rental unit,Entire home/apt,2,1,1,1,75,2,143,4.69,4.74,4.8,4.72
152,So Vicente,Lisboa,38.713590,-9.129740,Entire rental unit,Entire home/apt,4,1,1,2,60,4,373,4.44,4.56,4.43,4.67
153,Misericrdia,Lisboa,38.712910,-9.149260,Entire rental unit,Entire home/apt,4,1,1,1,80,3,4,3.25,2.5,3.5,3
154,Colares,Sintra,38.837330,-9.459940,Entire cottage,Entire home/apt,12,4,6,10,560,5,3,4.67,4.67,4.33,4.67
155,Misericrdia,Lisboa,38.714410,-9.149080,Private room in residential home,Private room,2,1,1,1,40,3,279,4.82,4.96,4.94,4.83
156,Misericrdia,Lisboa,38.711090,-9.147150,Entire rental unit,Entire home/apt,2,1,1,1,67,3,595,4.98,4.97,4.97,4.93
157,Santa Maria Maior,Lisboa,38.715790,-9.133820,Entire loft,Entire home/apt,3,1,1,1,33,2,187,4.3,4.5,4.24,4.59
158,Cascais e Estoril,Cascais,38.709160,-9.406650,Entire rental unit,Entire home/apt,3,1,1,5,55,3,46,4.6,4.77,4.72,4.63
159,Santa Maria Maior,Lisboa,38.709840,-9.136320,Entire rental unit,Entire home/apt,9,2,3,6,140,1,141,4.58,4.59,4.78,4.86
160,Lourinh e Atalaia,Lourinh,39.269900,-9.331720,Entire townhouse,Entire home/apt,6,2,2,5,90,5,6,4.83,4.5,5,4.67
161,Santa Maria Maior,Lisboa,38.711990,-9.127980,Entire rental unit,Entire home/apt,2,1,1,1,65,2,322,4.58,4.69,4.74,4.81
162,Santa Maria Maior,Lisboa,38.711860,-9.128590,Entire rental unit,Entire home/apt,3,1,1,1,27,2,202,4.09,4.32,4.33,4.72
163,So Vicente,Lisboa,38.714300,-9.130590,Entire rental unit,Entire home/apt,3,1,1,1,33,2,186,4.58,4.68,4.73,4.79
164,Santa Maria Maior,Lisboa,38.711910,-9.128640,Entire loft,Entire home/apt,3,1,1,2,31,2,225,4.49,4.68,4.59,4.79
165,Santa Maria Maior,Lisboa,38.711890,-9.128670,Entire loft,Entire home/apt,3,1,1,1,28,2,206,4.4,4.54,4.52,4.8
166,Santa Maria Maior,Lisboa,38.711890,-9.128670,Entire loft,Entire home/apt,3,1,1,2,33,2,229,4.42,4.61,4.58,4.82
167,Avenidas Novas,Lisboa,38.727910,-9.157090,Private room in rental unit,Private room,6,1,1,4,40,2,26,4.38,4.42,4.35,4.46
168,Cascais e Estoril,Cascais,38.697920,-9.422500,Private room in rental unit,Private room,1,1,1,1,40,2,42,4.9,4.9,4.85,4.9
169,Belm,Lisboa,38.697350,-9.194890,Entire rental unit,Entire home/apt,4,1,1,2,69,7,115,4.72,4.73,4.74,4.5
170,Santa Maria Maior,Lisboa,38.712840,-9.130850,Entire rental unit,Entire home/apt,4,1,1,0,49,2,397,4.71,4.81,4.69,4.91
171,Santa Maria Maior,Lisboa,38.711350,-9.136160,Private room in bed and breakfast,Private room,8,2,4,4,60,1,85,4.81,4.88,4.81,4.94
172,Misericrdia,Lisboa,38.714030,-9.145510,Entire rental unit,Entire home/apt,5,1,2,2,60,1,191,4.53,4.7,4.66,4.83
173,Avenidas Novas,Lisboa,38.745240,-9.147760,Entire rental unit,Entire home/apt,5,1,2,3,40,2,206,4.87,4.89,4.86,4.7
174,Misericrdia,Lisboa,38.709620,-9.147390,Entire rental unit,Entire home/apt,2,1,1,1,65,2,147,4.83,4.89,4.87,4.91
175,So Vicente,Lisboa,38.713540,-9.129100,Entire rental unit,Entire home/apt,6,1,2,3,50,2,311,4.52,4.54,4.54,4.79
176,Santa Maria Maior,Lisboa,38.712590,-9.129120,Entire rental unit,Entire home/apt,2,1,1,1,45,5,320,4.83,4.87,4.94,4.83
177,Santa Maria Maior,Lisboa,38.713760,-9.136400,Entire rental unit,Entire home/apt,2,1,1,1,58,3,371,4.91,4.96,4.95,4.92
178,Santa Maria Maior,Lisboa,38.712520,-9.124500,Entire rental unit,Entire home/apt,5,1,2,4,141,2,36,4.89,4.92,4.78,4.92
179,Santa Maria Maior,Lisboa,38.712760,-9.124690,Entire rental unit,Entire home/apt,4,1,2,3,141,2,48,4.94,4.92,4.94,4.9
180,Santa Maria Maior,Lisboa,38.712140,-9.129360,Entire rental unit,Entire home/apt,3,1,1,1,60,4,328,4.73,4.82,4.84,4.86
181,Arroios,Lisboa,38.720670,-9.135240,Entire rental unit,Entire home/apt,4,1,2,3,65,3,82,4.5,4.68,4.14,4.53
182,So Vicente,Lisboa,38.720680,-9.131570,Entire rental unit,Entire home/apt,2,1,1,1,96,2,527,4.89,4.92,4.86,4.88
183,Penha de Frana,Lisboa,38.730670,-9.131030,Entire rental unit,Entire home/apt,4,1,2,3,73,3,40,4.84,4.79,4.84,4.63
184,So Joo das Lampas e Terrugem,Sintra,38.847500,-9.452250,Entire villa,Entire home/apt,4,1,2,3,55,3,130,4.78,4.74,4.36,4.91
185,So Joo das Lampas e Terrugem,Sintra,38.848580,-9.453210,Entire residential home,Entire home/apt,4,1,3,3,60,5,33,4.67,4.76,4.19,4.91
186,Santa Maria Maior,Lisboa,38.710660,-9.129020,Entire rental unit,Entire home/apt,3,1,1,1,50,2,278,4.74,4.84,4.78,4.91
187,Misericrdia,Lisboa,38.711330,-9.147960,Entire rental unit,Entire home/apt,3,1,1,2,60,4,421,4.88,4.9,4.91,4.9
188,Santa Maria Maior,Lisboa,38.712600,-9.127910,Entire rental unit,Entire home/apt,2,1,1,1,40,2,319,4.47,4.54,4.75,4.78
189,Misericrdia,Lisboa,38.713040,-9.146840,Entire rental unit,Entire home/apt,2,1,1,1,65,2,24,4.58,4.79,4.04,4.79
190,Alvalade,Lisboa,38.753770,-9.148520,Private room in rental unit,Private room,1,1,1,1,35,1,5,4.6,4.8,5,4.6
191,Santa Maria Maior,Lisboa,38.710910,-9.137840,Entire rental unit,Entire home/apt,5,2,2,4,120,2,72,4.89,4.92,4.9,4.97
192,Misericrdia,Lisboa,38.713610,-9.146890,Entire rental unit,Entire home/apt,3,1,1,1,69,3,207,4.57,4.68,4.57,4.77
193,Santa Maria Maior,Lisboa,38.712807,-9.132227,Entire rental unit,Entire home/apt,2,1,1,1,89,3,4,3.67,4.33,4.67,4
